City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
6,Rikitea,PF,78.12,broken clouds,-23.1203,-134.9692,Pension Maro'i
9,Ravar,IR,77.27,broken clouds,31.2656,56.8055,computertik
10,Champerico,GT,80.6,scattered clouds,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
14,Port Hedland,AU,77.0,scattered clouds,-20.3167,118.5667,The Esplanade Hotel
19,Luanda,AO,84.2,scattered clouds,-8.8368,13.2343,LANDU MARINEZA LUFUANDU TONI
21,Vaini,TO,75.2,broken clouds,-21.2,-175.2,Keleti Beach Resort
24,Atuona,PF,80.15,light rain,-9.8,-139.0333,Villa Enata
30,Hithadhoo,MV,85.48,scattered clouds,-0.6,73.0833,Scoop Guest House
44,Touros,BR,86.0,scattered clouds,-5.1989,-35.4608,INN NEW HORIZON
45,Kavieng,PG,82.27,light rain,-2.5744,150.7967,Nusa Island Retreat
48,Road Town,VG,84.2,scattered clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
50,Annau,TM,77.0,scattered clouds,37.8876,58.516000000000005,Buzmein Sokak
53,Chaman,PK,78.08,clear sky,30.9236,66.4512,Niamat parda Center chaman
55,Bela,IN,89.02,few clouds,25.9333,81.9833,Raj Bhawan
56,Hilo,US,75.2,light rain,19.7297,-155.09,Hilo Hawaiian Hotel
57,Hambantota,LK,78.8,broken clouds,6.1241,81.1185,Bungalow 63
59,Coahuayana,MX,78.8,scattered clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
68,Turayf,SA,86.0,clear sky,31.6725,38.6637,Swiss Spirit Hotel & Suites Turaif
76,Parrita,CR,77.0,broken clouds,9.5201,-84.3225,Beso del Viento
78,Amahai,ID,77.85,overcast clouds,-3.3333,128.9167,HOTEL ISABELA
79,Buchanan,LR,87.8,broken clouds,5.8808,-10.0467,Kamaneahn Hotel Inc
80,Puerto Ayora,EC,80.6,few clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
83,Sola,VU,81.68,overcast clouds,-13.8833,167.55,Leumerus Bungalows
86,Trimbak,IN,82.24,few clouds,19.9333,73.55,OYO 4192 Sai Krupa Hotel
90,Kencong,ID,76.91,broken clouds,-8.2833,113.3667,GUBUK SUGIANTO
91,Zaranj,AF,89.6,few clouds,30.9667,61.8833,غزنوی هوتل
94,Butaritari,KI,82.26,light rain,3.0707,172.7902,Isles Sunset Lodge
96,Arraial Do Cabo,BR,80.6,scattered clouds,-22.9661,-42.0278,Pousada Porto Praia
108,Chiredzi,ZW,76.15,clear sky,-21.05,31.6667,The Nesbitt Arms
109,Georgetown,MY,84.99,moderate rain,5.4112,100.3354,Cititel Penang
110,Zhuhai,CN,80.6,few clouds,22.2769,113.5678,Nanyang Seascape Hotel Zhuhai Hotel
114,Paraiso,CR,75.2,broken clouds,9.8383,-83.8656,Rinconcito Verde
116,Nsanje,MW,76.06,clear sky,-16.92,35.262,Nsanje Discovery Lodge
118,Cayenne,GF,86.0,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
120,Mitsamiouli,KM,82.4,few clouds,-11.3847,43.2844,Foyer ADM
129,Narasannapeta,IN,84.76,clear sky,18.4167,84.05,G.lingaraju home
132,Tshikapa,CD,82.42,overcast clouds,-6.4167,20.8,Hôtel Tshia-Muntu de Tshikapa
135,Del Rio,US,75.2,clear sky,29.3627,-100.8968,"Holiday Inn Express & Suites del Rio, an IHG Hotel"
136,Caravelas,BR,85.53,broken clouds,-17.7125,-39.2481,Pousada dos Navegantes
138,Paralimni,CY,77.0,few clouds,35.0375,33.9833,Amore Hotel Apartments
142,Diamantina,BR,75.92,clear sky,-18.2494,-43.6003,POUSADA OURO DE MINAS
147,Matara,LK,79.3,overcast clouds,5.9485,80.5353,Amaloh Boutique Resort
155,Pemangkat,ID,77.4,overcast clouds,1.1667,108.9667,Ramah Kost KITA
156,San Andres,CO,86.0,broken clouds,12.5847,-81.7006,Hotel Arena Blanca
158,Saint George,US,77.0,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
160,Kloulklubed,PW,78.8,broken clouds,7.0419,134.2556,Storyboard Beach Resort
161,Gigmoto,PH,80.01,overcast clouds,13.7796,124.39,Cj's Travellers Inn
164,Marsa Matruh,EG,82.4,clear sky,31.3525,27.2453,Beau Site
165,Tevaitoa,PF,81.66,broken clouds,-16.7833,-151.5,Hôtel Raiatea Lodge
170,Ouesso,CG,76.15,light rain,1.6136,16.0517,Hôtel ABENI
171,Buala,SB,81.45,overcast clouds,-8.145,159.5921,Maringe Lagoon Lodge
173,Lazaro Cardenas,MX,84.51,overcast clouds,17.9583,-102.2,Hotel Quinta Antigua
175,Sampit,ID,75.0,light rain,-2.5333,112.95,Aquarius Boutique Hotel Sampit
176,Namibe,AO,78.03,few clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
179,Alta Floresta,BR,78.8,clear sky,-9.8756,-56.0861,Floresta Amazonica Hotel
187,Faanui,PF,82.4,broken clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
194,Sur,OM,87.69,overcast clouds,22.5667,59.5289,Sur Plaza Hotel
195,Simpang,ID,75.79,overcast clouds,-1.2667,104.0833,Sk 7 rt 1 dusun 3 rantau makmur berbak
196,Itacoatiara,BR,88.14,broken clouds,-3.1431,-58.4442,BBB Rooms Centro Itacoatiara AM
197,Qiryat Gat,IL,80.01,clear sky,31.61,34.7642,OlusHome
201,Alexandria,EG,84.2,clear sky,31.2156,29.9553,Royal Crown Hotel
