City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Date
0,Maarianhamina,AX,60.0973,19.9348,39.2,70,40,11.5,scattered clouds,2021-05-07 15:17:42
1,Hasaki,JP,35.7333,140.8333,59.0,100,75,3.44,mist,2021-05-07 15:17:59
2,Mecca,SA,21.4267,39.8261,96.57,29,2,11.99,clear sky,2021-05-07 15:18:00
3,Haines Junction,CA,60.7522,-137.5108,30.2,93,87,2.3,overcast clouds,2021-05-07 15:18:00
4,Lebu,CL,-37.6167,-73.65,56.68,67,100,2.73,overcast clouds,2021-05-07 15:18:00
5,Dikson,RU,73.5069,80.5464,25.97,91,49,15.41,scattered clouds,2021-05-07 15:18:01
6,Rikitea,PF,-23.1203,-134.9692,78.12,77,80,13.94,broken clouds,2021-05-07 15:18:01
7,Severo-Kurilsk,RU,50.6789,156.125,37.56,90,45,7.63,scattered clouds,2021-05-07 15:18:01
8,Barrow,US,71.2906,-156.7887,8.6,92,90,9.22,mist,2021-05-07 15:15:04
9,Ravar,IR,31.2656,56.8055,77.27,35,64,23.73,broken clouds,2021-05-07 15:18:02
10,Champerico,GT,14.3,-91.9167,80.6,83,40,6.91,scattered clouds,2021-05-07 15:18:02
11,Cape Town,ZA,-33.9258,18.4232,64.0,82,90,12.66,light rain,2021-05-07 15:18:02
12,Mangai,CD,-4.05,19.5333,84.0,57,53,3.69,broken clouds,2021-05-07 15:18:03
13,San Jose,US,37.3394,-121.895,55.0,71,20,5.75,few clouds,2021-05-07 15:14:27
14,Port Hedland,AU,-20.3167,118.5667,77.0,78,35,6.91,scattered clouds,2021-05-07 15:18:03
15,Port Alfred,ZA,-33.5906,26.891,69.19,82,67,7.52,moderate rain,2021-05-07 15:18:03
16,Busselton,AU,-33.65,115.3333,53.01,97,99,1.01,overcast clouds,2021-05-07 15:18:04
17,Mildura,AU,-34.2,142.15,55.4,50,40,2.3,scattered clouds,2021-05-07 15:18:04
18,Bluff,NZ,-46.6,168.3333,42.01,97,100,1.01,overcast clouds,2021-05-07 15:18:04
19,Luanda,AO,-8.8368,13.2343,84.2,74,40,9.22,scattered clouds,2021-05-07 15:14:43
20,Saint-Philippe,RE,-21.3585,55.7679,73.4,68,20,10.36,few clouds,2021-05-07 15:18:04
21,Vaini,TO,-21.2,-175.2,75.2,83,75,12.66,broken clouds,2021-05-07 15:18:05
22,Kruisfontein,ZA,-34.0033,24.7314,64.0,78,0,1.99,clear sky,2021-05-07 15:18:05
23,Solomenskoye,RU,44.2167,44.3528,67.51,54,57,3.22,broken clouds,2021-05-07 15:18:05
