City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Mount Gambier,AU,2021-03-21 22:04:27,-37.8333,140.7667,64.4,94,75,10.36
1,Okakarara,NA,2021-03-21 22:04:27,-20.5833,17.4333,67.33,85,96,1.86
2,Atuona,PF,2021-03-21 22:04:28,-9.8,-139.0333,80.02,77,3,12.71
3,Sorland,NO,2021-03-21 22:04:28,67.667,12.6934,24.8,100,75,2.3
4,Rikitea,PF,2021-03-21 22:04:28,-23.1203,-134.9692,80.42,69,12,7.4
5,Khatanga,RU,2021-03-21 22:04:28,71.9667,102.5,-23.71,77,0,8.14
6,Vaini,TO,2021-03-21 22:04:29,-21.2,-175.2,82.4,83,75,4.61
7,Chingirlau,KZ,2021-03-21 22:04:29,51.095,54.0814,18.72,95,91,6.04
8,Sao Filipe,CV,2021-03-21 22:04:29,14.8961,-24.4956,71.44,70,99,9.69
9,Barrow,US,2021-03-21 22:04:30,71.2906,-156.7887,-9.4,70,1,14.97
10,Peleduy,RU,2021-03-21 22:04:30,59.6289,112.7406,-12.3,94,100,7.02
11,Angoche,MZ,2021-03-21 22:04:30,-16.2325,39.9086,79.39,81,100,5.12
12,Tuktoyaktuk,CA,2021-03-21 22:04:30,69.4541,-133.0374,-13.0,84,20,10.36
13,Henties Bay,NA,2021-03-21 22:04:31,-22.116,14.2845,63.0,88,0,1.99
14,Punta Arenas,CL,2021-03-21 22:02:13,-53.15,-70.9167,57.2,54,75,13.8
15,Bluff,NZ,2021-03-21 22:01:08,-46.6,168.3333,55.99,93,94,4.0
16,Siniscola,IT,2021-03-21 22:04:31,40.5719,9.6922,39.2,75,0,4.61
17,Thompson,CA,2021-03-21 22:04:23,55.7435,-97.8558,23.0,86,90,19.57
18,Skagen,DK,2021-03-21 22:04:31,57.7209,10.5839,41.0,64,74,7.0
19,Caravelas,BR,2021-03-21 22:04:32,-17.7125,-39.2481,76.51,83,49,5.41
20,Constitucion,CL,2021-03-21 22:04:32,-35.3333,-72.4167,62.35,76,1,8.39
21,Albany,US,2021-03-21 22:04:32,42.6001,-73.9662,64.4,14,20,3.44
22,Jamestown,US,2021-03-21 22:02:06,42.097,-79.2353,60.8,11,1,5.12
23,Port Alfred,ZA,2021-03-21 22:04:33,-33.5906,26.891,64.62,67,95,8.12
24,Byron Bay,AU,2021-03-21 22:04:33,-28.65,153.6167,69.8,94,75,16.11
25,Harper,LR,2021-03-21 22:03:01,4.375,-7.7169,79.79,87,41,9.69
26,Gandorhun,SL,2021-03-21 22:04:33,7.5,-11.8333,75.18,85,59,3.15
27,Puyang,CN,2021-03-21 22:04:34,29.4603,119.8861,42.08,73,79,2.19
28,Coihaique,CL,2021-03-21 22:04:34,-45.5752,-72.0662,66.2,48,0,8.05
29,Mataura,NZ,2021-03-21 22:04:34,-46.1927,168.8643,55.99,93,86,4.0
30,Husavik,IS,2021-03-21 22:04:35,66.0449,-17.3389,42.8,65,75,23.02
31,Avarua,CK,2021-03-21 22:04:35,-21.2078,-159.775,78.8,89,75,6.91
32,Alyangula,AU,2021-03-21 22:04:35,-13.8483,136.4192,82.2,78,97,5.75
33,Ambulu,ID,2021-03-21 22:04:35,-8.345,113.6058,77.18,89,76,2.37
34,Geraldton,AU,2021-03-21 22:04:36,-28.7667,114.6,68.0,94,40,9.22
35,Wanning,CN,2021-03-21 22:04:36,18.8003,110.3967,67.68,87,100,14.14
36,Grand Gaube,MU,2021-03-21 22:04:37,-20.0064,57.6608,79.0,85,0,4.0
37,Ushuaia,AR,2021-03-21 22:01:27,-54.8,-68.3,53.6,62,40,18.41
38,Cobija,BO,2021-03-21 22:04:37,-11.0267,-68.7692,75.97,98,100,2.3
39,Kapaa,US,2021-03-21 22:04:37,22.0752,-159.319,75.2,64,75,20.71
40,Hilo,US,2021-03-21 22:04:38,19.7297,-155.09,77.0,57,90,14.97
41,Puerto Ayora,EC,2021-03-21 22:04:38,-0.7393,-90.3518,84.2,74,20,6.91
42,Saskylakh,RU,2021-03-21 22:04:38,71.9167,114.0833,-31.43,100,76,2.55
43,Magadan,RU,2021-03-21 22:04:39,59.5667,150.8,8.96,86,99,9.44
44,Pevek,RU,2021-03-21 22:04:39,69.7008,170.3133,-23.53,87,0,5.41
45,Butaritari,KI,2021-03-21 22:04:39,3.0707,172.7902,82.74,77,100,18.81
46,College,US,2021-03-21 22:04:40,64.8569,-147.8028,18.0,35,1,2.84
47,Ponta Do Sol,PT,2021-03-21 22:04:40,32.6667,-17.1,60.8,55,40,10.36
48,Tiksi,RU,2021-03-21 22:04:40,71.6872,128.8694,-16.73,97,100,11.27
49,Port Elizabeth,ZA,2021-03-21 22:04:41,-33.918,25.5701,62.6,82,20,5.75
50,Mahebourg,MU,2021-03-21 22:04:41,-20.4081,57.7,78.8,89,75,8.05
51,Almenara,BR,2021-03-21 22:04:41,-16.1836,-40.6944,74.19,80,76,3.74
52,Manzil Salim,TN,2021-03-21 22:04:41,35.8567,8.4765,37.4,75,75,20.71
53,Tranas,SE,2021-03-21 22:04:42,58.0372,14.9782,33.8,51,20,9.22
54,Busselton,AU,2021-03-21 22:04:42,-33.65,115.3333,64.0,96,88,4.0
55,Castro,BR,2021-03-21 22:00:54,-24.7911,-50.0119,67.93,91,96,2.71
56,Port Shepstone,ZA,2021-03-21 22:04:42,-30.7414,30.455,68.09,76,80,18.1
57,Pacific Grove,US,2021-03-21 22:02:51,36.6177,-121.9166,57.2,67,1,9.22
58,Nanortalik,GL,2021-03-21 22:04:43,60.1432,-45.2371,25.3,78,100,25.75
59,Baringo,KE,2021-03-21 22:02:07,0.4667,35.9667,74.35,60,95,1.32
60,Hasaki,JP,2021-03-21 22:04:43,35.7333,140.8333,53.6,87,75,4.61
61,East London,ZA,2021-03-21 22:04:43,-33.0153,27.9116,65.44,67,57,12.73
62,Kodiak,US,2021-03-21 22:04:44,57.79,-152.4072,37.4,75,90,8.05
63,Amlame,TG,2021-03-21 22:04:44,7.4667,0.9,79.95,72,52,3.98
64,Kenora,CA,2021-03-21 22:04:44,49.8167,-94.4337,41.0,87,90,6.91
65,Arraial Do Cabo,BR,2021-03-21 22:04:45,-22.9661,-42.0278,80.6,78,0,12.66
66,Xuddur,SO,2021-03-21 22:04:45,4.1213,43.8894,76.69,70,0,13.06
67,Mar Del Plata,AR,2021-03-21 22:04:45,-38.0023,-57.5575,61.0,67,20,13.8
68,Snezhnogorsk,RU,2021-03-21 22:04:46,69.1933,33.2531,21.2,86,40,6.71
69,Sorong,ID,2021-03-21 22:04:46,-0.8833,131.25,80.53,80,18,6.35
